"ITEM","VALUE","MIN","MAX"
"BT_RSSI_DEV","-40","-45","-35"
"BT_SCAN_DEV","1","",""
"IMAGE_SIZE","614400","",""
"EMMMC_SIZE","7818182656","",""
"IMU_STAT","UU","",""
"KERNEL_VER","hlp-17w30","",""
"BIOS_VER","1.37.2","",""
"MEM_SIZE","1977440","",""
"USB3_STICK","1","",""
"USB2_STICK","1","",""
"WIFI_RSSI_50G","-49.00","-50.00","-40.00"
"WIFI_RSSI_24G","-28.00","-20.00","-25.00"
"WIFI_SCAN_50G","1","1","999"
"WIFI_SCAN_24G","1","1","999"
"HDMI_STAT","connected","",""
"USB_CONN","60","",""
"LED_BOARD","60","",""
"BSP_VER","dyson-n276-hlp","",""
